Marker 1.0,Marker 7.0,Time (s)
-39.23076923076923,152.0,1.1943999999997583
-38.30769230769231,264.0,1.194499999999758
-23.23076923076923,406.0,1.1945999999997583
0.6923076923076923,443.0,1.1946999999997585
11.76923076923077,361.0,1.1947999999997583
19.692307692307693,247.0,1.194899999999758
22.692307692307693,102.0,1.1949999999997583
12.846153846153847,-40.0,1.1950999999997585
12.23076923076923,-119.0,1.1951999999997582
30.153846153846153,-128.0,1.195299999999758
40.15384615384615,-72.0,1.1953999999997582
22.0,-10.0,1.1954999999997584
-5.3076923076923075,-1.0,1.1955999999997582
-19.46153846153846,-20.0,1.195699999999758
-26.153846153846153,-56.0,1.1957999999997582
-27.46153846153846,-155.0,1.1958999999997584
-16.846153846153847,-283.0,1.1959999999997581
-10.76923076923077,-340.0,1.196099999999758
-25.53846153846154,-309.0,1.1961999999997581
-43.07692307692308,-251.0,1.1962999999997583
-37.69230769230769,-185.0,1.196399999999758
-21.846153846153847,-95.0,1.1964999999997579
-15.538461538461538,-29.0,1.196599999999758
-19.76923076923077,-7.0,1.1966999999997583
-35.38461538461539,20.0,1.196799999999758
-38.61538461538461,35.0,1.1968999999997578
-11.692307692307692,21.0,1.196999999999758
13.692307692307692,-4.0,1.1970999999997582
13.153846153846153,-49.0,1.197199999999758
15.692307692307692,-58.0,1.1972999999997578
32.07692307692308,21.0,1.197399999999758
41.23076923076923,135.0,1.1974999999997582
50.38461538461539,141.0,1.197599999999758
49.84615384615385,-13.0,1.1976999999997577
20.0,-145.0,1.197799999999758
-16.23076923076923,-102.0,1.1978999999997582
-41.15384615384615,58.0,1.197999999999758
-52.69230769230769,228.0,1.1980999999997577
-38.0,323.0,1.198199999999758
2.769230769230769,278.0,1.1982999999997581
46.76923076923077,111.0,1.1983999999997579
71.07692307692308,-69.0,1.1984999999997576
76.0,-191.0,1.1985999999997579
74.15384615384616,-313.0,1.198699999999758
52.07692307692308,-394.0,1.1987999999997578
14.923076923076923,-330.0,1.1988999999997576
-1.3846153846153846,-198.0,1.1989999999997578
-0.7692307692307693,-88.0,1.199099999999758
-6.153846153846154,-22.0,1.1991999999997578
-12.076923076923077,17.0,1.1992999999997576
-15.615384615384615,28.0,1.1993999999997578
-22.153846153846153,7.0,1.199499999999758
-12.692307692307692,31.0,1.1995999999997577
8.692307692307692,73.0,1.1996999999997575
-4.538461538461538,67.0,1.1997999999997577
-46.61538461538461,73.0,1.199899999999758
-58.92307692307692,92.0,1.1999999999997577
-33.53846153846154,88.0,1.2000999999997575
-6.3076923076923075,74.0,1.2001999999997577
-0.07692307692307693,51.0,1.200299999999758
-15.0,23.0,1.2003999999997577
-34.46153846153846,19.0,1.2004999999997574
-29.307692307692307,3.0,1.2005999999997576
-1.1538461538461537,-96.0,1.2006999999997578
14.615384615384615,-205.0,1.2007999999997576
13.76923076923077,-190.0,1.2008999999997574
17.46153846153846,-97.0,1.2009999999997576
25.307692307692307,-48.0,1.2010999999997578
19.692307692307693,-48.0,1.2011999999997576
-0.46153846153846156,-49.0,1.2012999999997573
-21.692307692307693,-25.0,1.2013999999997576
-47.23076923076923,41.0,1.2014999999997578
-71.15384615384616,68.0,1.2015999999997575
-79.0,-5.0,1.2016999999997573
-69.84615384615384,-96.0,1.2017999999997575
-35.38461538461539,-113.0,1.2018999999997577
22.46153846153846,-51.0,1.2019999999997575
65.46153846153847,-2.0,1.2020999999997573
74.0,-13.0,1.2021999999997575
70.15384615384616,-4.0,1.2022999999997577
70.53846153846153,79.0,1.2023999999997574
70.15384615384616,184.0,1.2024999999997572
64.07692307692308,209.0,1.2025999999997574
42.0,126.0,1.2026999999997576
3.0,20.0,1.2027999999997574
-25.615384615384617,-29.0,1.2028999999997572
-27.615384615384617,-63.0,1.2029999999997574
-16.153846153846153,-107.0,1.2030999999997576
2.1538461538461537,-94.0,1.2031999999997574
13.307692307692308,-18.0,1.2032999999997571
-11.384615384615385,51.0,1.2033999999997573
-56.23076923076923,85.0,1.2034999999997575
-80.23076923076923,56.0,1.2035999999997573
-84.53846153846153,-71.0,1.203699999999757
-100.0,-204.0,1.2037999999997573
-105.0,-247.0,1.2038999999997575
-68.15384615384616,-186.0,1.2039999999997573
-23.615384615384617,-37.0,1.204099999999757
4.0,90.0,1.2041999999997572
35.69230769230769,162.0,1.2042999999997575
68.84615384615384,188.0,1.2043999999997572
80.46153846153847,170.0,1.204499999999757
79.46153846153847,133.0,1.2045999999997572
76.6923076923077,33.0,1.2046999999997574
57.92307692307692,-102.0,1.2047999999997572
38.15384615384615,-171.0,1.204899999999757
41.76923076923077,-127.0,1.2049999999997572
40.15384615384615,-16.0,1.2050999999997574
16.692307692307693,58.0,1.2051999999997571
4.615384615384615,25.0,1.205299999999757
14.923076923076923,-77.0,1.205399999999757
30.153846153846153,-113.0,1.2054999999997573
51.0,-74.0,1.205599999999757
79.3076923076923,-82.0,1.2056999999997569
81.15384615384616,-103.0,1.205799999999757
37.07692307692308,-33.0,1.2058999999997573
-7.923076923076923,61.0,1.205999999999757
-12.384615384615385,80.0,1.2060999999997568
-3.4615384615384617,86.0,1.206199999999757
-7.769230769230769,128.0,1.2062999999997572
-10.0,136.0,1.206399999999757
-7.230769230769231,103.0,1.2064999999997568
10.692307692307692,26.0,1.206599999999757
36.76923076923077,-113.0,1.2066999999997572
20.76923076923077,-206.0,1.206799999999757
-18.076923076923077,-193.0,1.2068999999997567
-38.15384615384615,-130.0,1.206999999999757
-50.84615384615385,-21.0,1.2070999999997571
-57.69230769230769,96.0,1.207199999999757
-38.46153846153846,120.0,1.2072999999997567
-15.538461538461538,58.0,1.207399999999757
-27.0,18.0,1.207499999999757
-42.30769230769231,-38.0,1.2075999999997569
-35.15384615384615,-213.0,1.2076999999997566
-37.0,-336.0,1.2077999999997568
-30.307692307692307,-254.0,1.207899999999757
6.461538461538462,-84.0,1.2079999999997568
40.46153846153846,67.0,1.2080999999997566
56.38461538461539,145.0,1.2081999999997568
61.84615384615385,136.0,1.208299999999757
49.76923076923077,99.0,1.2083999999997568
9.538461538461538,82.0,1.2084999999997565
-26.23076923076923,90.0,1.2085999999997568
-15.23076923076923,68.0,1.208699999999757
17.53846153846154,-11.0,1.2087999999997567
20.23076923076923,-105.0,1.2088999999997565
0.6923076923076923,-154.0,1.2089999999997567
-6.846153846153846,-142.0,1.209099999999757
-13.461538461538462,-58.0,1.2091999999997567
-24.46153846153846,105.0,1.2092999999997565
-20.76923076923077,236.0,1.2093999999997567
-8.923076923076923,267.0,1.2094999999997569
5.6923076923076925,209.0,1.2095999999997566
19.53846153846154,56.0,1.2096999999997564
6.538461538461538,-88.0,1.2097999999997566
-17.615384615384617,-177.0,1.2098999999997568
-8.538461538461538,-218.0,1.2099999999997566
21.23076923076923,-186.0,1.2100999999997564
37.84615384615385,-67.0,1.2101999999997566
32.69230769230769,74.0,1.2102999999997568
16.76923076923077,143.0,1.2103999999997566
4.3076923076923075,199.0,1.2104999999997563
0.8461538461538461,216.0,1.2105999999997565
11.846153846153847,99.0,1.2106999999997567
22.384615384615383,-34.0,1.2107999999997565
38.38461538461539,-122.0,1.2108999999997563
55.53846153846154,-143.0,1.2109999999997565
32.07692307692308,-56.0,1.2110999999997567
-16.23076923076923,66.0,1.2111999999997565
-42.76923076923077,151.0,1.2112999999997562
-50.84615384615385,124.0,1.2113999999997564
-60.23076923076923,-4.0,1.2114999999997567
-50.76923076923077,-90.0,1.2115999999997564
-15.615384615384615,-85.0,1.2116999999997562
7.230769230769231,-50.0,1.2117999999997564
-1.5384615384615385,-9.0,1.2118999999997566
-11.692307692307692,9.0,1.2119999999997564
5.461538461538462,13.0,1.2120999999997562
27.46153846153846,43.0,1.2121999999997564
38.53846153846154,38.0,1.2122999999997566
32.76923076923077,-7.0,1.2123999999997563
-0.46153846153846156,0.0,1.212499999999756
-28.923076923076923,2.0,1.2125999999997563
-21.384615384615383,-69.0,1.2126999999997565
-6.384615384615385,-99.0,1.2127999999997563
2.1538461538461537,-55.0,1.212899999999756
13.384615384615385,15.0,1.2129999999997563
11.76923076923077,95.0,1.2130999999997565
-3.923076923076923,109.0,1.2131999999997563
-9.76923076923077,40.0,1.213299999999756
-5.076923076923077,-22.0,1.2133999999997562
-10.846153846153847,-16.0,1.2134999999997564
-19.23076923076923,20.0,1.2135999999997562
-18.0,52.0,1.213699999999756
-10.615384615384615,53.0,1.2137999999997562
4.538461538461538,24.0,1.2138999999997564
24.53846153846154,23.0,1.2139999999997562
37.38461538461539,34.0,1.214099999999756
42.76923076923077,16.0,1.2141999999997561
56.84615384615385,1.0,1.2142999999997564
77.46153846153847,14.0,1.2143999999997561
73.92307692307692,45.0,1.2144999999997559
45.69230769230769,37.0,1.214599999999756
16.153846153846153,-76.0,1.2146999999997563
-8.923076923076923,-171.0,1.214799999999756
-16.0,-111.0,1.2148999999997558
3.923076923076923,18.0,1.214999999999756
43.61538461538461,119.0,1.2150999999997563
68.76923076923077,148.0,1.215199999999756
54.84615384615385,88.0,1.2152999999997558
21.23076923076923,34.0,1.215399999999756
-13.384615384615385,77.0,1.2154999999997562
-36.0,105.0,1.215599999999756
-39.23076923076923,6.0,1.2156999999997558
-37.61538461538461,-89.0,1.215799999999756
-34.0,-91.0,1.2158999999997562
-20.23076923076923,-34.0,1.215999999999756
-10.692307692307692,42.0,1.2160999999997557
-7.461538461538462,83.0,1.216199999999756
3.6153846153846154,86.0,1.2162999999997561
14.384615384615385,83.0,1.216399999999756
3.6923076923076925,78.0,1.2164999999997557
-6.3076923076923075,56.0,1.2165999999997559
11.615384615384615,8.0,1.216699999999756
22.076923076923077,-26.0,1.2167999999997559
0.6923076923076923,2.0,1.2168999999997556
-21.846153846153847,85.0,1.2169999999997558
-11.23076923076923,143.0,1.217099999999756
24.0,125.0,1.2171999999997558
38.23076923076923,40.0,1.2172999999997556
28.23076923076923,-23.0,1.2173999999997558
26.307692307692307,56.0,1.217499999999756
30.076923076923077,150.0,1.2175999999997558
13.461538461538462,24.0,1.2176999999997555
-24.615384615384617,-187.0,1.2177999999997557
-47.38461538461539,-266.0,1.217899999999756
-33.23076923076923,-236.0,1.2179999999997557
-3.6153846153846154,-214.0,1.2180999999997555
30.692307692307693,-251.0,1.2181999999997557
75.0,-255.0,1.218299999999756
114.3076923076923,-151.0,1.2183999999997557
115.61538461538461,18.0,1.2184999999997554
73.53846153846153,141.0,1.2185999999997557
17.384615384615383,100.0,1.2186999999997559
-28.923076923076923,-25.0,1.2187999999997556
-57.23076923076923,-69.0,1.2188999999997554
-57.84615384615385,16.0,1.2189999999997556
-45.38461538461539,177.0,1.2190999999997558
-29.46153846153846,283.0,1.2191999999997556
14.384615384615385,281.0,1.2192999999997554
71.3076923076923,255.0,1.2193999999997556
95.53846153846153,207.0,1.2194999999997558
85.0,101.0,1.2195999999997555
55.53846153846154,47.0,1.2196999999997553
7.3076923076923075,124.0,1.2197999999997555
-43.38461538461539,193.0,1.2198999999997557
-59.53846153846154,151.0,1.2199999999997555
-41.0,90.0,1.2200999999997553
-32.07692307692308,46.0,1.2201999999997555
-48.0,-4.0,1.2202999999997557
-54.92307692307692,-37.0,1.2203999999997555
-43.46153846153846,-43.0,1.2204999999997552
-30.23076923076923,-70.0,1.2205999999997554
-21.76923076923077,-159.0,1.2206999999997556
-31.615384615384617,-232.0,1.2207999999997554
-41.46153846153846,-238.0,1.2208999999997552
-32.15384615384615,-184.0,1.2209999999997554
-28.846153846153847,-90.0,1.2210999999997556
-37.30769230769231,-58.0,1.2211999999997554
-32.23076923076923,-123.0,1.2212999999997551
3.769230769230769,-197.0,1.2213999999997553
50.84615384615385,-141.0,1.2214999999997556
62.76923076923077,13.0,1.2215999999997553
39.30769230769231,36.0,1.221699999999755
6.3076923076923075,-64.0,1.2217999999997553
-18.46153846153846,-92.0,1.2218999999997555
-13.692307692307692,-15.0,1.2219999999997553
5.076923076923077,72.0,1.222099999999755
2.923076923076923,113.0,1.2221999999997553
1.6923076923076923,113.0,1.2222999999997555
27.76923076923077,98.0,1.2223999999997552
39.76923076923077,68.0,1.222499999999755
30.76923076923077,53.0,1.2225999999997552
34.46153846153846,86.0,1.2226999999997554
23.384615384615383,116.0,1.2227999999997552
-18.076923076923077,127.0,1.222899999999755
-48.0,149.0,1.2229999999997552
-43.07692307692308,128.0,1.2230999999997554
-12.846153846153847,97.0,1.2231999999997551
19.153846153846153,122.0,1.223299999999755
25.23076923076923,157.0,1.2233999999997551
6.769230769230769,200.0,1.2234999999997553
0.15384615384615385,194.0,1.223599999999755
4.461538461538462,46.0,1.2236999999997549
-9.692307692307692,-117.0,1.223799999999755
-26.692307692307693,-189.0,1.2238999999997553
-18.076923076923077,-191.0,1.223999999999755
2.769230769230769,-110.0,1.2240999999997548
9.153846153846153,5.0,1.224199999999755
5.230769230769231,72.0,1.2242999999997553
14.461538461538462,62.0,1.224399999999755
21.46153846153846,24.0,1.2244999999997548
3.230769230769231,-23.0,1.224599999999755
-13.153846153846153,-111.0,1.2246999999997552
-12.307692307692308,-150.0,1.224799999999755
-15.307692307692308,-115.0,1.2248999999997547
-20.0,-69.0,1.224999999999755
-19.076923076923077,-9.0,1.2250999999997552
-16.692307692307693,39.0,1.225199999999755
3.1538461538461537,96.0,1.2252999999997547
49.61538461538461,178.0,1.225399999999755
78.84615384615384,247.0,1.2254999999997551
69.07692307692308,233.0,1.2255999999997549
47.07692307692308,81.0,1.2256999999997547
16.46153846153846,-69.0,1.2257999999997549
-33.69230769230769,-113.0,1.225899999999755
-75.53846153846153,-99.0,1.2259999999997548
-76.53846153846153,-52.0,1.2260999999997546
-60.46153846153846,29.0,1.2261999999997548
-45.46153846153846,93.0,1.226299999999755
-19.846153846153847,47.0,1.2263999999997548
-7.538461538461538,-37.0,1.2264999999997546
-18.615384615384617,-60.0,1.2265999999997548
-24.384615384615383,-61.0,1.226699999999755
-40.69230769230769,-64.0,1.2267999999997548
-71.76923076923077,-67.0,1.2268999999997545
-64.15384615384616,-54.0,1.2269999999997547
-11.0,-29.0,1.227099999999755
34.15384615384615,0.0,1.2271999999997547
41.61538461538461,31.0,1.2272999999997545
